axis,layer,cv_acc,loo_template_min_cos,loo_topic_min_cos,bootstrap_cos_std,pc1_var_ratio,cos_pc1_vs_meandiff,cross_axis_cos,md_vs_lr_cos,md_vs_pca_cos,between_within_ratio
economic,8,1.0,0.9856,1.0,0.00045,0.4648,0.6059,-0.1193,0.9998,0.6059,4.61
economic,12,1.0,0.9741,0.9998,0.00097,0.3268,0.0541,-0.0721,0.9999,0.0541,4.53
economic,16,0.989,0.9756,0.9999,0.00093,0.3317,0.023,-0.12,0.9997,0.023,8.82
economic,20,0.989,0.9774,0.9999,0.00077,0.3898,0.2241,-0.1001,0.9914,0.2241,1.81
economic,24,0.994,0.9788,0.9999,0.00072,0.3754,0.2474,-0.1109,0.9832,0.2474,2.0
social,8,0.572,0.9889,1.0,0.00037,0.3627,0.3656,-0.1193,0.7926,0.3656,7.74
social,12,0.894,0.9798,0.9999,0.00068,0.3425,0.2034,-0.0721,0.8816,0.2034,6.79
social,16,1.0,0.9666,0.9999,0.00097,0.443,0.4132,-0.12,0.9813,0.4132,4.13
social,20,1.0,0.9666,0.9999,0.00091,0.5195,0.4654,-0.1001,0.9987,0.4654,2.16
social,24,1.0,0.9734,0.9999,0.00073,0.494,0.4907,-0.1109,0.992,0.4907,1.38
